_id,Route ID,Route Description,Route Description Marathi,Kilometer
853,62-D,Sangamwadi To Sukhsagarnagar,संगमवाडी ते सुखसागर नगर,15.5
854,62-U,Sukhsagarnagar To Sangamwadi,सुखसागर नगर ते संगमवाडी,15.5
855,63-D,Kalyaninagar To Swargate,कल्याणीनगर ते स्वारगेट,11.5
856,63-U,Swargate To Kalyaninagar,स्वारगेट ते कल्याणीनगर,11.5
857,64A-D,Warje Malwadi To Swargate,वारजे माळवाडी ते स्वारगेट,10
858,64A-U,Swargate To Warje Malwadi,स्वारगेट ते वारजे माळवाडी,10
859,64B-D,Gujrat Colony To Upper Depot,गुजराथ कॉलनी ते अप्पर डेपो,11.7
860,64B-U,Upper Depot To Gujrat Colony,अप्पर डेपो ते गुजराथ कॉलनी,11.7
861,64C-D,Swargate To Gujrat Colony,स्वारगेट ते गुजराथ कॉलनी,6.5
862,64-D,Warje Malwadi To Hadapsar Gadital,वारजे माळवाडी ते हडपसर गाडीतळ,20
863,64-U,Hadapsar Gadital To Warje Malwadi,हडपसर गाडीतळ ते वारजे माळवाडी,20
864,65A-D,Marketyard To Upper Depo,मार्केटयार्ड ते अप्पर डेपो,4.8
865,65A-U,Upper Depo To Marketyard,अप्पर डेपो ते मार्केटयार्ड,4.8
866,65-D,Maharashtra Housing Board Samtanagar To Upper Depot,महाराष्ट्र हौसिंग बोर्ड (समतानगर) ते अप्पर डेपो,16.5
867,65-U,Upper Depot To Maharashtra Housing Board Samtanagar,अप्पर डेपो ते महाराष्ट्र हौसिंग बोर्ड (समतानगर),16.5
868,66A-D,Shaniwarwada To Marketyard,शनिवारवाडा ते मार्केटयार्ड,6
869,66A-U,Marketyard To Shaniwarwada,मार्केटयार्ड ते शनिवारवाडा,6
870,66-D,Agalambegaon To Marketyard,आगळंबे गांव ते मार्केटयार्ड,29.1
871,66-U,Marketyard To Agalambegaon,मार्केटयार्ड ते आगळंबे गांव,29
872,67-D,Kharadi Gaon To Swargate,खराडी गाव ते स्वारगेट,17.2
873,67-U,Swargate To Kharadi Gaon,स्वारगेट ते खराडी गाव,17.2
874,68A-D,Sukhsagarnagar To Kumbare Park,सुखसागरनगर ते कुंबरेपार्क,13.5
875,68A-U,Kumbare Park To Sukhsagarnagar,कुंबरेपार्क ते सुखसागरनगर,13.5
876,68B-D,Venutai Chavan College To Kothrud Depo,वेणुताई कॉलेज ते कोथरुड डेपो,15
877,68B-U,Kothrud Depo To Venutai Chavan College,कोथरुड डेपो ते वेणुताई कॉलेज,15
878,68S-D,Upper Depot To Sutardara,अप्पर डेपो ते सुतारदरा,14.8
879,68S-U,Sutardara To  Upper Depot,सुतारदरा ते अप्पर डेपो,14.8
880,69-D,Ghotawadegaon To Marketyard,घोटावडे गांव ते मार्केटयार्ड,31.3
881,69-U,Marketyard To Ghotawadegaon,मार्केटयार्ड ते घोटावडे गांव,31.3
882,70A-D,Shasakiya Vishramgruha Paudgaon To Deccan Gymkhana,शासकीय विश्रामगृह पौंडगांव ते डेक्कन जिमखाना,28
883,70A-U,Deccan Gymkhana To Shasakiya Vishramgruha Paudgaon,डेक्कन जिमखाना ते शासकीय विश्रामगृह पौंडगांव,28
884,70B-D,Shasakiya Vishramgruha Paudgaon To Kothrud Depo,शासकीय विश्रामगृह पौंडगांव ते कोथरुड डेपो,22
885,70B-U,Kothrud Depo To Shasakiya Vishramgruha Paudgaon,कोथरुड डेपो ते शासकीय विश्रामगृह पौंडगांव,22
886,70C-D,Sheregaon To Kothrud Depo,शेरेगांव ते कोथरुड डेपो,27.3
887,70C-U,Kothrud Depo To Sheregaon,कोथरुड डेपो ते शेरेगांव,27.3
888,70-D,Sheregaon To Deccan Gymkhana,शेरेगांव ते डेक्कन जिमखाना,33.3
889,70-U,Deccan Gymkhana To Sheregaon,डेक्कन जिमखाना ते शेरेगांव,33.3
890,71-D,Sukhsagarnagar To Kothrud Depot,सुखसागर नगर ते कोथरुड डेपो,14.3
891,71-U,Kothrud Depot To Sukhsagarnagar,कोथरुड डेपो ते सुखसागर नगर,14.3
892,72A-D,Swargate To Upper Depo,स्वारगेट ते अप्पर डेपो,5.2
893,72A-U,Upper Depo To Swargate,अप्पर डेपो ते स्वारगेट,5.2
894,72-D,Kondhwagate To Upper Depot,कोंढवा गेट ते अप्पर डेपो,20.9
895,72-U,Upper Depot To Kondhwagate,अप्पर डेपो ते कोंढवा गेट,20.9
896,73-D,Kothrud Depot To Hadapsar Gadital,कोथरुड डेपो ते हडपसर गाडीतळ,18.7
897,73-U,Hadapsar Gadital To Kothrud Depot,हडपसर गाडीतळ ते कोथरुड डेपो,18.7
898,75-D,Vidyanagar To Deccan Gymkhana,विद्यानगर ते डेक्कन जिमखाना,13.5
899,75-U,Deccan Gymkhana To Vidyanagar,डेक्कन जिमखाना ते विद्यानगर,13.5
900,76-D,Upper Depot To Kumbare Park,अप्पर डेपोते कुंबरेपार्क,13.8
901,76-U,Kumbare Park To Upper Depot,कुंबरेपार्क ते अप्पर डेपो,13.8
902,77-R,Warje Malwadi To Warje Malwadi,वारजे माळवाडी ते वारजे माळवाडी,24.5
903,78A-D,Warje Malwadi To Marketyard,वारजे माळवाडी ते मार्केटयार्ड,14.2
904,78A-U,Marketyard To Warje Malwadi,मार्केटयार्ड ते वारजे माळवाडी,14.2
905,78-D,Kondhwagate To Marketyard,कोंढवा गेट ते मार्केटयार्ड,19.1
906,78-U,Marketyard To Kondhwagate,मार्केटयार्ड ते कोंढवा गेट,19.1
907,79B-U,Kothrud Depo To Ghotawade Phata,कोथरुड डेपो ते घोटावडे फाटा,13.9
908,79C-D,Deccan Gymkhana To Kothrud Depo,डेक्कन जिमखाना ते कोथरुड डेपो,6
909,79C-U,Kothrud Depo To Deccan Gymkhana,कोथरुड डेपो ते डेक्कन जिमखाना,6
910,79-D,Mugawade To Deccan Gymkhana,मुगावडे ते डेक्कन जिमखाना,29.9
911,79D-D,Deccan Gymkhana To Warje Malwadi,डेक्कन जिमखाना ते वारजे माळवाडी,7.9
912,79D-U,Warje Malwadi To Deccan Gymkhana,वारजे माळवाडी ते डेक्कन जिमखाना,7.9
913,79-U,Deccan Gymkhana To Mugawade,डेक्कन जिमखाना ते मुगावडे,29.9
914,7A-D,Uruli Kanchan To Hadapsar Gadital,ऊरूळी कांचन ते हडपसर गाडीतळ,20.8
915,7A-U,Hadapsar Gadital To Uruli Kanchan,हडपसर गाडीतळ ते ऊरूळी कांचन,20.8
916,7B-D,Manjari Kh To Hadapsar Gadital,मांजरी खुर्द ते हडपसर गाडीतळ,8.3
917,7B-U,Hadapsar Gadital To Manjari Kh,हडपसर गाडीतळ ते मांजरी खुर्द,8.3
918,7-D,Uruli Kanchan To Sarasbaug,ऊरूळी कांचन ते सारसबाग,31.5
919,7-U,Sarasbaug To Uruli Kanchan,सारसबाग ते ऊरूळी कांचन,31.5
920,80A-D,Aditya Garden City To Ma Na Pa,आदित्यनगर गार्डन सिटी ते मनपा,12.3
921,80A-U,Ma Na Pa To Aditya Garden City,मनपा ते आदित्यनगर गार्डन सिटी,12.3
922,80B-D,Popularnagar To Ma Na Pa,पॉप्युलर नगर ते मनपा,9.5
923,80B-U,Ma Na Pa To Popularnagar,मनपा ते पॉप्युलर नगर,9.5
924,80-D,Cipla Center To Ma Na Pa,सिप्ला सेंटर ते मनपा,10.7
925,80-U,Ma Na Pa To Cipla Center,मनपा ते सिप्ला सेंटर,10.4
926,81-D,Pune Station To Kumbare Park,पुणे स्टेशन ते कुंबरेपार्क,12.9
927,81-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,12.9
928,82A-D,Ma Na Pa To Warje Malwadi,मनपा ते वारजे माळवाडी,9.9
929,82A-U,Warje Malwadi To Ma Na Pa,वारजे माळवाडी ते मनपा,9.9
930,82B-D,Kondhwagate To Kothrud Stand,कोंढवा गेट ते कोथरुड स्टॅन्ड,9
931,82C-U,Kondhwagate To Warje Malwadi,कोंढवा गेट ते वारजे माळवाडी,5.6
932,82D-U,Kothrud Depo To Kondhwagate,कोथरुड डेपो ते कोंढवा गेट,23.6
933,82E-U,Kondhwagate To Ma Na Pa,कोंढवा गेट ते मनपा,16.4
934,82-R,Kondhwagate To Kondhwagate,कोंढवा गेट ते कोंढवा गेट,30.8
935,84A-D,Kondhur Phata To Deccan Gymkhana,कोंढूर फाटा ते डेक्कन जिमखाना,37.4
936,84A-U,Deccan Gymkhana To Kondhur Phata,डेक्कन जिमखाना ते कोंढूर फाटा,37.4
937,84B-U,Kothrud Stand To Sangrun,कोथरुड स्टॅन्ड ते सांगरुण,24.5
938,84C-D,Kondhur Phata To Kothrud Stand,कोंढूर फाटा ते कोथरुड स्टॅन्ड,33.5
939,84C-U,Kothrud Stand To Kondhur Phata,कोथरुड स्टॅन्ड ते कोंढूर फाटा,33.5
940,84-D,Sangrun To Deccan Gymkhana,सांगरुण ते डेक्कन जिमखाना,28.4
941,84-U,Deccan Gymkhana To Sangrun,डेक्कन जिमखाना ते सांगरुण,28.4
942,85A-U,Khothrud Stand To Mohakarwadi,कोथरुड स्‍टॅण्ड ते मोहकरवाडी,15.3
943,85-D,Mohakarwadi To Ma Na Pa,मोहकरवाडी ते मनपा,20.8
944,85-U,Ma Na Pa To Mohakarwadi,मनपा ते मोहकरवाडी,20.8
945,86-R,Kothrud Depot To Kothrud Depot,कोथरुड डेपो ते कोथरुड डेपो,16.9
946,87-D,Sutarwadi To Deccan Gymkhana (Vai Bhagvatinagar),सुतारवाडी ते डेक्कन जिमखाना (भाग्यवतीनगर),12
947,87-U,Deccan Gymkhana To Sutarwadi (Vai Bhagvatinagar),डेक्कन जिमखाना ते सुतारवाडी (भाग्यवतीनगर),12
948,87A-D,SusgaonTo Deccan Gymkhana,सूसगांव ते डेक्कन जिमखाना,15
949,87A-U,Deccan Gymkhana To Susgaon,डेक्कन जिमखाना ते सूसगांव,15
950,87B-D,Sutarwadi Pashan To Mandai,सुतारवाडी ते महात्मा फुले मंडई,10.8
951,87B-U,Mandai To Sutarwadi Pashan,महात्मा फुले मंडई ते सुतारवाडी,10.8
952,87C-D,HMR Company To Deccan Gymkhana,एचएमआर कंपनी ते डेक्कन जिमखाना,12.5
953,87C-U,Deccan Gymkhana To HMR Company,डेक्कन जिमखाना ते एचएमआर कंपनी,12.5
954,87D-D,Sutarwadi To Deccan Gymkhana (Vai Sai Chowk),सुतारवाडी ते डेक्कन जिमखाना (साई चौक),12
955,87D-U,Deccan Gymkhana To Sutarwadi (Vai Sai Chowk),डेक्कन जिमखाना ते सुतारवाडी (साई चौक),12
956,87F-D,Balewadi Mhalunge Phata To Deccan Gymkhana,बालेवाडी म्हाळुंगे फाटा ते डेक्कन जिमखाना,15.5
957,87F-U,Deccan Gymkhana To Balewadi Mhalunge Phata,डेक्कन जिमखाना ते बालेवाडी म्हाळुंगे फाटा,15.5
958,88A-D,Swargate To Medi Point,स्वारगेट ते मेडी पॉर्इंट,11.6
959,88-D,Medi Point To Upper Depot,मेडी पॉर्इंट ते अप्पर डेपो,16.8
960,88-U,Upper Depot To Medi Point,अप्पर डेपो ते मेडी पॉर्इंट,16.8
961,89-D,Niljyoti To Swargate,निलज्योती सोसायटी ते स्वारगेट,7.5
962,89-U,Swargate To Niljyoti,स्वारगेट ते निलज्योती सोसायटी,7.5
963,8-D,Mhatobachi Alandi To Hadapsar Gadital,म्हातोबाची आंळदी ते हडपसर गाडीतळ,19
964,8-U,Hadapsar Gadital To Mhatobachi Alandi,हडपसर गाडीतळ ते म्हातोबाची आंळदी,19
965,90-D,Gokhalenagar To Swargate,गोखलेनगर ते स्वारगेट,7.3
966,90P-D,Pandavnagar Senapati Bapat Road To Swargate,पांडव नगर ते स्वारगेट,9
967,90P-U,Swargate To Pandavnagar Senapati Bapat Road,स्वारगेट ते पांडव नगर,9
968,90-U,Swargate To Gokhalenagar,स्वारगेट ते गोखलेनगर,7.3
969,91-D,Ishanyanagari To Ma Na Pa,ईशान्यनगरी ते मनपा,9
970,91-U,Ma Na Pa To Ishanyanagari,मनपा ते ईशान्यनगरी,9
971,92-D,Pune Station To Gujrat Colony,पुणे स्टेशन ते गुजराथ कॉलनी,9.5
972,92-U,Gujrat Colony To Pune Station,गुजराथ कॉलनी ते पुणे स्टेशन,9.5
973,93-D,Pimplenilakh To Deccan Gymkhana,पिंपळे निलख ते डेक्कन जिमखाना,12.6
974,93-U,Deccan Gymkhana To Pimplenilakh,डेक्कन जिमखाना ते पिंपळे निलख,12.6
975,94A-D,Vadgaonsheri To Kumbre park,वडगावशेरी ते कुंबरे पार्क,19.1
976,94A-U,Kumbre park To Vadgaonsheri,कुंबरे पार्क ते वडगावशेरी,19.1
977,94B-U,Kumbare Park To Pune Station,कुंबरेपार्क ते पुणे स्टेशन,11.2
978,94-D,Pune Station To Kothrud Depot,पुणे स्टेशन ते कोथरुड डेपो,11.4
979,94-U,Kothrud Depot To Pune Station,कोथरुड डेपो ते पुणे स्टेशन,11.4
980,95A-D,Pimplegurav To Gujrat Colony,पिंपळे गुरवते गुजराथ कॉलनी,18.2
981,95A-U,Gujrat Colony To  Pimplegurav,गुजराथ कॉलनी ते पिंपळे गुरव,18.2
982,95-D,Pimplegurav To Kothrud Depot,पिंपळे गुरव ते कोथरुड डेपो,21.1
983,95-U,Kothrud Depot To Pimplegurav,कोथरुड डेपो ते पिंपळे गुरव,21.1
984,96-D,Gharkul Vasahat Warje To Pimplegurav,"वारजे, घरकुल वसाहत ते पिंपळे गुरव",23.3
985,96-U,Pimplegurav To Gharkul Vasahat Warje,"पिंपळे गुरव ते वारजे, घरकुल वसाहत",23.3
986,97-D,Sahkarnagar To Warje Malwadi,सहकारनगर ते वारजे माळवाडी,12.5
987,97-U,Warje Malwadi To Sahkarnagar,वारजे माळवाडी ते सहकारनगर,12.5
988,9-D,Uruli Railway Station To Hadapsar Gadital,उरूळी रेल्वे स्टेशन ते हडपसर गाडीतळ,27.1
989,9-U,Hadapsar Gadital To Uruli Railway Station,हडपसर गाडीतळ ते उरूळी रेल्वे स्टेशन,27.1
990,VJR1-D,Dhayari Maruti Mandir To Hadapsar Gadital,धायरी मारूती मंदिर ते हडपसर गाडीतळ,21.7
991,VJR1-U,Hadapsar Gadital To Dhayari Maruti Mandir,हडपसर गाडीतळ ते धायरी मारूती मंदिर,21.7
992,VJR2-D,Kesnand Phata To Warje Malwadi,केसनंद फाटा ते वारजे माळवाडी,29.4
993,VJR2-U,Warje Malwadi To Kesnand Phata,वारजे माळवाडी ते केसनंद फाटा,29.4
994,VJR3-D,Hadapsar Gadital To Kothrud Depot,हडपसर गाडीतळ ते कोथरुड डेपो,17.9
995,VJR3-U,Kothrud Depot To Hadapsar Gadital,कोथरुड डेपो ते हडपसर गाडीतळ,17.9
996,VJR4-D,Vishrantwadi To Kothrud Depot,विश्रांतवाडी ते कोथरुड डेपो,15.9
997,VJR4-U,Kothrud Depot To Vishrantwadi,कोथरुड डेपो ते विश्रांतवाडी,15.9
998,VJR5-D,Mukai Chowk To Ma Na Pa,मुकईचौक ते मनपा,20.6
999,VJR5-U,Ma Na Pa To Mukai Chowk,मनपा ते मुकईचौक,20.6
1000,VJR6-D,Hinjawadi Maan Phase 3 To Bhosari,हिंजवडी माण फेज ३ ते भोसरी,24
1001,VJR6-U,Bhosari To Hinjawadi Maan Phase 3,भोसरी ते हिंजवडी माण फेज ३,24
1002,VJR2A-U,Kothrud Stand To Kesnand Phata,कोथरुड स्टॅन्ड ते केसनंद फाटा,25.4
1003,14A-D,Kesnand Phata To Swargate,केसनंद फाटा ते स्वारगेट,19.4
1004,14A-U,Swargate  To Kesnand Phata,स्वारगेट ते केसनंद फाटा,19.4
1005,58B-U,Swargate To Police Ground,स्वारगेट ते पोलिस ग्राउंड,4.5
1006,58B-D,Police Ground To Swargate,पोलिस ग्राउंड ते स्वारगेट,4.5
1007,103D-U,Katraj To MIT College,कात्रज ते एमआयटी कॉलेज,12.5
1008,103D-D,MIT College To Katraj,एमआयटी कॉलेज ते कात्रज,12.5
1009,363B-D,Sainagar Mamurdi To Nigdi,साईनगर मामुर्डी ते निगडी,8.5
1010,363B-U,Nigdi To Sainagar Mamurdi,निगडी ते साईनगर मामुर्डी,8.5
1011,293S-U,Salunke Vihar To Khed Shivapur,साळुंके विहार ते खेड शिवापुर,21.9
1012,293S-D,Khed Shivapur To Salunke Vihar,खेड शिवापुर ते साळुंके विहार,21.9
1013,139S-U,Salunke Vihar To Bhakti Shakti,साळुंके विहार ते भक्ति शक्ति,26.5
1014,139S-D,Bhakti Shakti To  Salunke Vihar,भक्ति शक्ति ते  भक्ति शक्ति,26.5
1015,135 NGT-D,Kesnand Phata To Pune Station,केसनंद फाटा ते पुणे स्टेशन,15.3
1016,135 NGT-U,Pune Station To Kesnand Phata,पुणे स्टेशन ते केसनंद फाटा,15.3
1017,117 NGT-D,Dhayari GaonTo Swargate,धायरीगांव  ते स्वारगेट,9.3
1018,117 NGT-U,Swargate To Dhayari Gaon,स्वारगेट ते धायरीगांव,9.3
1019,174 NGT-D,Kondhwa Gate To Pune Station,कोंढवा गेट ते पुणे स्टेशन,18.8
1020,174 NGT-U,Pune Station To Kondhwa Gate,पुणे स्टेशन ते कोंढवा गेट,18.8
1021,348 NGT-D,Bhakti Shakti To Pune Station,भक्ति शक्ति डेपो ते पुणे स्टेशन,24
1022,348 NGT-U,Pune Station To Bhakti Shakti,पुणे स्टेशन ते भक्ति शक्ति डेपो,24
1023,12 NGT-D,Bhakti Shakti To  Swargate,भक्ति शक्ति डेपो ते स्वारगेट,23
1024,12 NGT-U,Swargate To Bhakti Shakti,स्वारगेट ते भक्ति शक्ति डेपो,23
1025,158B-U,Ma Na Pa To  D.Y. Patil Vidhypith Lohgaon,डी वाय पाटील विद्यापीठ लोहगांव ते मनपा,17.9
1026,158B-D,D.Y. Patil Vidhypith Lohgaon To Ma Na Pa,डी वाय पाटील विद्यापीठ लोहगांव ते मनपा,17.9
1027,19D-U,Trinity College To Shivajinagar,ट्रीनिटी कॉलेज ते शिवाजीनगर,18.1
1028,19D-D,Shivajinagar To Trinity College,शिवाजीनगर ते ट्रीनिटी कॉलेज,18.1
1029,253-D,Vidyanagar To  Upper Depot,विद्यानगर ते अप्पर डेपो,22.8
1030,253-U,Upper Depot To Vidyanagar,अप्पर डेपो ते विद्यानगर,22.8
